---------------------------------------------
|        3 ≤ s ≤ 100    s < m < 250          |
|              SCOTT verified                |
|              time limit = 1000           |
|              m ≤ s*s                       |
---------------------------------------------

   m    |   s    |                   Method(s)                  |        α        |       runtime   
  105   |  11    |   FC                            GAP          |  =     21/44    | runtime:  0.09
  106   |  11    |   FC                            GAP          |  =     53/110   | runtime:  0.09
  107   |  11    |   FC                            GAP          |  =    107/220   | runtime:  0.03
  108   |  11    |   FC                            GAP          |  =    101/209   | runtime:  0.12
  109   |  11    |   FC                            GAP          |  =    100/209   | runtime:  0.11
  111   |  11    |   FC                            GAP          |  =     37/77    | runtime:  0.09
  112   |  11    |   FC                            GAP          |  =     16/33    | runtime:  0.07
  113   |  11    |   FC                            GAP          |  =    107/220   | runtime:  0.08
  114   |  11    |   FC                            GAP          |  =     53/110   | runtime:  0.12
  115   |  11    |   FC                            GAP          |  =     21/44    | runtime:  0.20
  116   |  11    |   FC                            GAP          |  =     58/121   | runtime:  0.10
  117   |  11    |   FC                            GAP          |  =    117/242   | runtime:  0.09
  118   |  11    |   FC                            GAP          |  =     59/121   | runtime:  0.05
  119   |  11    |   FC                            GAP          |  =     16/33    | runtime:  0.15
  120   |  11    |   FC                            GAP          |  =     37/77    | runtime:  0.17
  13    |  12    |                  EBM            GAP          |  =      1/3     | runtime:  0.01
  17    |  12    |                                 GAP          |  ≤      7/24    | runtime:  0.02
  19    |  12    |   FC                            GAP          |  =     19/48    | runtime:  0.02
  23    |  12    |   FC                            GAP          |  =     13/36    | runtime:  0.02
  25    |  12    |   FC                            GAP          |  =      5/12    | runtime:  0.02
  29    |  12    |   FC                            GAP          |  =     19/48    | runtime:  0.03
  31    |  12    |   FC                            GAP          |  =     31/72    | runtime:  0.02
  35    |  12    |   FC                            GAP          |  =      5/12    | runtime:  0.03
  37    |  12    |   FC                            GAP          |  =     37/84    | runtime:  0.02
  41    |  12    |   FC                            GAP          |  =     31/72    | runtime:  0.04
  43    |  12    |   FC                            GAP          |  =     43/96    | runtime:  0.03
  47    |  12    |   FC                            GAP          |  =     37/84    | runtime:  0.02
  49    |  12    |   FC                            GAP          |  =     49/108   | runtime:  0.02
  53    |  12    |   FC                            GAP          |  =     43/96    | runtime:  0.04
  55    |  12    |   FC                            GAP          |  =     11/24    | runtime:  0.04
  59    |  12    |   FC                            GAP          |  =     49/108   | runtime:  0.05
  61    |  12    |   FC                            GAP          |  =     61/132   | runtime:  0.05
  65    |  12    |   FC                            GAP          |  =     11/24    | runtime:  0.06
  67    |  12    |   FC                            GAP          |  =     67/144   | runtime:  0.05
  71    |  12    |   FC                            GAP          |  =     61/132   | runtime:  0.05
  73    |  12    |   FC                            GAP          |  =     73/156   | runtime:  0.06
  77    |  12    |   FC                            GAP          |  =     67/144   | runtime:  0.05
  79    |  12    |   FC                            GAP          |  =     79/168   | runtime:  0.07
  83    |  12    |   FC                            GAP          |  =     73/156   | runtime:  0.06
  85    |  12    |   FC                            GAP          |  =     17/36    | runtime:  0.07
  89    |  12    |   FC                            GAP          |  =     79/168   | runtime:  0.07
  91    |  12    |   FC                            GAP          |  =     91/192   | runtime:  0.07
  95    |  12    |   FC                            GAP          |  =     17/36    | runtime:  0.11
  97    |  12    |   FC                            GAP          |  =     97/204   | runtime:  0.07
  101   |  12    |   FC                            GAP          |  =     91/192   | runtime:  0.12
  103   |  12    |   FC                            GAP          |  =    103/216   | runtime:  0.08
  107   |  12    |   FC                            GAP          |  =     97/204   | runtime:  0.11
  109   |  12    |   FC                            GAP          |  =    109/228   | runtime:  0.09
  113   |  12    |   FC                            GAP          |  =    103/216   | runtime:  0.14
  115   |  12    |   FC                            GAP          |  =     23/48    | runtime:  0.10
  119   |  12    |   FC                            GAP          |  =    109/228   | runtime:  0.14
  121   |  12    |   FC                            GAP          |  =    121/252   | runtime:  0.10
  125   |  12    |   FC                            GAP          |  =     23/48    | runtime:  0.19
  127   |  12    |   FC                            GAP          |  =    127/264   | runtime:  0.09
  131   |  12    |   FC                            GAP          |  =    121/252   | runtime:  0.12
  133   |  12    |   FC                            GAP          |  =    133/276   | runtime:  0.09
  137   |  12    |   FC                            GAP          |  =    127/264   | runtime:  0.18
  139   |  12    |   FC                            GAP          |  =    139/288   | runtime:  0.12
  143   |  12    |   FC                            GAP          |  =    133/276   | runtime:  0.26
  14    |  13    |                  EBM  HBM  MID  GAP          |  =      9/26    | runtime:  0.05
  15    |  13    |       INT  HALF  EBM       MID  GAP          |  =      9/26    | runtime:  0.04
  16    |  13    |       INT             HBM  MID  GAP          |  =     14/39    | runtime:  0.03
  17    |  13    |   FC  INT        EBM       MID  GAP          |  =      9/26    | runtime:  0.05
  18    |  13    |                                 GAP          |  ≤      4/13    | runtime:  0.02
  19    |  13    |                                 GAP          |  ≤      7/26    | runtime:  0.02
  20    |  13    |   FC                            GAP          |  =      5/13    | runtime:  0.01
  21    |  13    |   FC  INT                  MID  GAP  TRAIN   |  =     21/52    | runtime:  0.03
  22    |  13    |       INT  HALF            MID  GAP          |  =     21/52    | runtime:  0.02
  23    |  13    |                            MID  GAP          |  =     53/130   | runtime:  0.02
  24    |  13    |   FC                            GAP          |  =      5/13    | runtime:  0.02
  25    |  13    |   FC                            GAP          |  =     14/39    | runtime:  0.02
  27    |  13    |   FC                            GAP          |  =     27/65    | runtime:  0.02
  28    |  13    |   FC  INT                  MID  GAP  TRAIN   |  =     28/65    | runtime:  0.03
  29    |  13    |       INT  HALF            MID  GAP          |  =     45/104   | runtime:  0.02
  30    |  13    |   FC                            GAP          |  =     11/26    | runtime:  0.02
  31    |  13    |   FC                            GAP          |  =     21/52    | runtime:  0.03
  32    |  13    |   FC                            GAP          |  =      5/13    | runtime:  0.02
  33    |  13    |   FC                            GAP          |  =     11/26    | runtime:  0.03
