---------------------------------------------
|        3 ≤ s ≤ 100    s < m < 110          |
|               PROC verified                |
|              time limit = 660            |
---------------------------------------------

   m    |   s    |                   Method(s)                  |        α        |       runtime   
  101   |  6     |   FC                                         |  =     97/198   |   0.11 
  103   |  6     |   FC                                         |  =    103/210   |   0.09 
  107   |  6     |   FC                                         |  =    103/210   |   0.17 
  109   |  6     |   FC                                         |  =    109/222   |   0.14 
  8     |  7     |       INT  HALF  EBM  HBM  MID  GAP          |  =      5/14    |   0.01 
  9     |  7     |   FC  INT        EBM       MID  GAP          |  =      5/14    |   0.05 
  10    |  7     |   FC             EBM                         |  =      1/3     |   0.01 
  11    |  7     |   FC                                         |  =     11/28    |   0.01 
  12    |  7     |   FC                       MID               |  =      3/7     |   0.02 
  13    |  7     |   FC                                         |  =      8/21    |   0.01 
  15    |  7     |   FC                                         |  =      3/7     |   0.00 
  16    |  7     |   FC                                         |  =      3/7     |   0.01 
  17    |  7     |   FC                                         |  =     11/28    |   0.02 
  18    |  7     |   FC                                         |  =      3/7     |   0.01 
  19    |  7     |       INT  HALF            MID  GAP          |  =     25/56    |   0.01 
  20    |  7     |   FC                                         |  =      3/7     |   0.01 
  22    |  7     |   FC                                         |  =     22/49    |   0.01 
  23    |  7     |   FC                                         |  =     19/42    |   0.04 
  24    |  7     |   FC                                         |  =      3/7     |   0.01 
  25    |  7     |   FC                                         |  =     25/56    |   0.02 
  26    |  7     |   FC  INT  HALF            MID  GAP          |  =     13/28    |   0.01 
  27    |  7     |   FC                                         |  =     22/49    |   0.02 
  29    |  7     |   FC                                         |  =     29/63    |   0.02 
  30    |  7     |   FC                                         |  =     13/28    |   0.04 
  31    |  7     |   FC                                         |  =     25/56    |   0.02 
  32    |  7     |   FC                                         |  =     16/35    |   0.02 
  33    |  7     |   FC  INT                  MID  GAP  TRAIN   |  =     33/70    |   0.01 
  34    |  7     |   FC                                         |  =     29/63    |   0.08 
  36    |  7     |   FC                                         |  =     36/77    |   0.01 
  37    |  7     |   FC                                         |  =     33/70    |   0.02 
  38    |  7     |   FC                                         |  =     16/35    |   0.03 
  39    |  7     |   FC                                         |  =     13/28    |   0.03 
  40    |  7     |   FC                                         |  =     10/21    |   0.01 
  41    |  7     |   FC                                         |  =     36/77    |   0.03 
  43    |  7     |   FC                                         |  =     43/91    |   0.02 
  44    |  7     |   FC                                         |  =     10/21    |   0.01 
  45    |  7     |   FC                                         |  =     13/28    |   0.02 
  46    |  7     |   FC                                         |  =     23/49    |   0.03 
  47    |  7     |   FC                                         |  =     47/98    |   0.01 
  48    |  7     |   FC                                         |  =     43/91    |   0.04 
  50    |  7     |   FC                                         |  =     10/21    |   0.03 
  51    |  7     |   FC                                         |  =     47/98    |   0.05 
  52    |  7     |   FC                                         |  =     23/49    |   0.09 
  53    |  7     |   FC                                         |  =     53/112   |   0.04 
  54    |  7     |   FC                                         |  =     27/56    |   0.02 
  55    |  7     |   FC                                         |  =     10/21    |   0.04 
  57    |  7     |   FC                                         |  =     57/119   |   0.06 
  58    |  7     |   FC                                         |  =     27/56    |   0.02 
  59    |  7     |   FC                                         |  =     53/112   |   0.05 
  60    |  7     |   FC                                         |  =     10/21    |   0.04 
  61    |  7     |   FC                                         |  =     61/126   |   0.02 
  62    |  7     |   FC                                         |  =     57/119   |   0.05 
  64    |  7     |   FC                                         |  =     64/133   |   0.04 
  65    |  7     |   FC                                         |  =     61/126   |   0.04 
  66    |  7     |   FC                                         |  =     10/21    |   0.05 
  67    |  7     |   FC                                         |  =     67/140   |   0.06 
  68    |  7     |   FC                                         |  =     17/35    |   0.02 
  69    |  7     |   FC                                         |  =     64/133   |   0.07 
  71    |  7     |   FC                                         |  =     71/147   |   0.04 
  72    |  7     |   FC                                         |  =     17/35    |   0.06 
  73    |  7     |   FC                                         |  =     67/140   |   0.17 
  74    |  7     |   FC                                         |  =     37/77    |   0.05 
  75    |  7     |   FC                                         |  =     75/154   |   0.03 
  76    |  7     |   FC                                         |  =     71/147   |   0.07 
  78    |  7     |   FC                                         |  =     78/161   |   0.04 
  79    |  7     |   FC                                         |  =     75/154   |   0.04 
  80    |  7     |   FC                                         |  =     37/77    |   0.07 
  81    |  7     |   FC                                         |  =     27/56    |   0.06 
  82    |  7     |   FC                                         |  =     41/84    |   0.04 
  83    |  7     |   FC                                         |  =     78/161   |   0.06 
  85    |  7     |   FC                                         |  =     17/35    |   0.05 
  86    |  7     |   FC                                         |  =     41/84    |   0.04 
  87    |  7     |   FC                                         |  =     27/56    |   0.11 
  88    |  7     |   FC                                         |  =     44/91    |   0.06 
  89    |  7     |   FC                                         |  =     89/182   |   0.04 
  90    |  7     |   FC                                         |  =     17/35    |   0.08 
  92    |  7     |   FC                                         |  =     92/189   |   0.06 
  93    |  7     |   FC                                         |  =     89/182   |   0.16 
  94    |  7     |   FC                                         |  =     44/91    |   0.13 
  95    |  7     |   FC                                         |  =     95/196   |   0.07 
  96    |  7     |   FC                                         |  =     24/49    |   0.03 
  97    |  7     |   FC                                         |  =     92/189   |   0.13 
  99    |  7     |   FC                                         |  =     99/203   |   0.05 
  100   |  7     |   FC                                         |  =     24/49    |   0.08 
  101   |  7     |   FC                                         |  =     95/196   |   0.15 
  102   |  7     |   FC                                         |  =     17/35    |   0.09 
  103   |  7     |   FC                                         |  =    103/210   |   0.05 
  104   |  7     |   FC                                         |  =     99/203   |   0.13 
  106   |  7     |   FC                                         |  =    106/217   |   0.11 
  107   |  7     |   FC                                         |  =    103/210   |   0.06 
  108   |  7     |   FC                                         |  =     17/35    |   0.21 
  109   |  7     |   FC                                         |  =    109/224   |   0.16 
  110   |  7     |   FC                                         |  =     55/112   |   0.05 
  9     |  8     |   FC  INT  HALF            MID  GAP          |  =      3/8     |   0.02 
  11    |  8     |   FC             EBM                         |  =      1/3     |   0.01 
  13    |  8     |   FC  INT                  MID  GAP  TRAIN   |  =     13/32    |   0.02 
  15    |  8     |   FC                                         |  =      3/8     |   0.01 
  17    |  8     |   FC                                         |  =     17/40    |   0.01 
  19    |  8     |   FC                                         |  =     13/32    |   0.02 
  21    |  8     |   FC                                         |  =      7/16    |   0.01 
  23    |  8     |   FC                                         |  =     17/40    |   0.01 
  25    |  8     |   FC                                         |  =     25/56    |   0.01 
  27    |  8     |   FC                                         |  =      7/16    |   0.02 
  29    |  8     |   FC                                         |  =     29/64    |   0.02 
  31    |  8     |   FC                                         |  =     25/56    |   0.02 
  33    |  8     |   FC                                         |  =     11/24    |   0.02 
  35    |  8     |   FC                                         |  =     29/64    |   0.02 
  37    |  8     |   FC                                         |  =     37/80    |   0.02 
  39    |  8     |   FC                                         |  =     11/24    |   0.03 
  41    |  8     |   FC                                         |  =     41/88    |   0.02 
  43    |  8     |   FC                                         |  =     37/80    |   0.03 
  45    |  8     |   FC                                         |  =     15/32    |   0.02 
  47    |  8     |   FC                                         |  =     41/88    |   0.03 
  49    |  8     |   FC                                         |  =     49/104   |   0.02 
  51    |  8     |   FC                                         |  =     15/32    |   0.03 
  53    |  8     |   FC                                         |  =     53/112   |   0.04 
  55    |  8     |   FC                                         |  =     49/104   |   0.07 
  57    |  8     |   FC                                         |  =     19/40    |   0.04 
  59    |  8     |   FC                                         |  =     53/112   |   0.05 
  61    |  8     |   FC                                         |  =     61/128   |   0.03 
  63    |  8     |   FC                                         |  =     19/40    |   0.03 
  65    |  8     |   FC                                         |  =     65/136   |   0.05 
  67    |  8     |   FC                                         |  =     61/128   |   0.05 
  69    |  8     |   FC                                         |  =     23/48    |   0.05 
  71    |  8     |   FC                                         |  =     65/136   |   0.05 
  73    |  8     |   FC                                         |  =     73/152   |   0.04 
  75    |  8     |   FC                                         |  =     23/48    |   0.04 
  77    |  8     |   FC                                         |  =     77/160   |   0.03 
  79    |  8     |   FC                                         |  =     73/152   |   0.05 
  81    |  8     |   FC                                         |  =     27/56    |   0.04 
  83    |  8     |   FC                                         |  =     77/160   |   0.05 
  85    |  8     |   FC                                         |  =     85/176   |   0.05 
  87    |  8     |   FC                                         |  =     27/56    |   0.06 
  89    |  8     |   FC                                         |  =     89/184   |   0.05 
  91    |  8     |   FC                                         |  =     85/176   |   0.09 
  93    |  8     |   FC                                         |  =     31/64    |   0.06 
  95    |  8     |   FC                                         |  =     89/184   |   0.12 
  97    |  8     |   FC                                         |  =     97/200   |   0.05 
  99    |  8     |   FC                                         |  =     31/64    |   0.06 
  101   |  8     |   FC                                         |  =    101/208   |   0.07 
  103   |  8     |   FC                                         |  =     97/200   |   0.13 
  105   |  8     |   FC                                         |  =     35/72    |   0.07 
  107   |  8     |   FC                                         |  =    101/208   |   0.07 
  109   |  8     |   FC                                         |  =    109/224   |   0.10 
  10    |  9     |       INT        EBM                         |  =      1/3     |   0.00 
  11    |  9     |       INT  HALF  EBM  HBM  MID  GAP          |  =     13/36    |   0.02 
  13    |  9     |   FC             EBM                         |  =      1/3     |   0.01 
  14    |  9     |   FC                                         |  =      7/18    |   0.01 
  16    |  9     |   FC  INT                  MID  GAP          |  =     11/27    |   0.01 
  17    |  9     |   FC                                         |  =     10/27    |   0.01 
  19    |  9     |   FC                                         |  =     19/45    |   0.01 
  20    |  9     |   FC                       MID               |  =      4/9     |   0.02 
  22    |  9     |   FC                                         |  =      7/18    |   0.02 
  23    |  9     |   FC                                         |  =     23/54    |   0.02 
  25    |  9     |   FC                                         |  =      4/9     |   0.01 
  26    |  9     |   FC                                         |  =     19/45    |   0.01 
