   m    |   s    |                   Method(s)                  |        α        |       runtime   
  47    |  3     |   FC                                         |  =     47/96    |  multi: 0.00  -  solv: 0.00  - runtime:  0.04 
  49    |  3     |   FC                                         |  =     47/96    |  multi: 0.00  -  solv: 0.00  - runtime:  0.26 
  50    |  3     |   FC                                         |  =     25/51    |  multi: 0.00  -  solv: 0.00  - runtime:  0.12 
  52    |  3     |   FC                                         |  =     25/51    |  multi: 0.00  -  solv: 0.00  - runtime:  0.20 
  53    |  3     |   FC                                         |  =     53/108   |  multi: 0.00  -  solv: 0.00  - runtime:  0.07 
  55    |  3     |   FC                                         |  =     53/108   |  multi: 0.00  -  solv: 0.00  - runtime:  0.19 
  56    |  3     |   FC                                         |  =     28/57    |  multi: 0.00  -  solv: 0.00  - runtime:  0.10 
  58    |  3     |   FC                                         |  =     28/57    |  multi: 0.00  -  solv: 0.00  - runtime:  0.17 
  59    |  3     |   FC                                         |  =     59/120   |  multi: 0.00  -  solv: 0.00  - runtime:  0.11 
  61    |  3     |   FC                                         |  =     59/120   |  multi: 0.00  -  solv: 0.00  - runtime:  0.16 
  62    |  3     |   FC                                         |  =     31/63    |  multi: 0.00  -  solv: 0.00  - runtime:  0.09 
  64    |  3     |   FC                                         |  =     31/63    |  multi: 0.00  -  solv: 0.00  - runtime:  0.16 
  65    |  3     |   FC                                         |  =     65/132   |  multi: 0.00  -  solv: 0.00  - runtime:  0.07 
  67    |  3     |   FC                                         |  =     65/132   |  multi: 0.00  -  solv: 0.00  - runtime:  0.25 
  68    |  3     |   FC                                         |  =     34/69    |  multi: 0.00  -  solv: 0.00  - runtime:  0.12 
  70    |  3     |   FC                                         |  =     34/69    |  multi: 0.00  -  solv: 0.00  - runtime:  0.22 
  71    |  3     |   FC                                         |  =     71/144   |  multi: 0.00  -  solv: 0.00  - runtime:  0.13 
  73    |  3     |   FC                                         |  =     71/144   |  multi: 0.00  -  solv: 0.00  - runtime:  0.27 
  74    |  3     |   FC                                         |  =     37/75    |  multi: 0.00  -  solv: 0.00  - runtime:  0.22 
  76    |  3     |   FC                                         |  =     37/75    |  multi: 0.00  -  solv: 0.00  - runtime:  0.18 
  77    |  3     |   FC                                         |  =     77/156   |  multi: 0.00  -  solv: 0.00  - runtime:  0.11 
  79    |  3     |   FC                                         |  =     77/156   |  multi: 0.00  -  solv: 0.00  - runtime:  0.32 
  80    |  3     |   FC                                         |  =     40/81    |  multi: 0.00  -  solv: 0.00  - runtime:  0.23 
  82    |  3     |   FC                                         |  =     40/81    |  multi: 0.00  -  solv: 0.00  - runtime:  0.31 
