
   m    |   s    |                   Method(s)                  |        α        |       runtime
  97    |  8     |   FC                            GAP          |  =     97/200   | 0.07 sec
  99    |  8     |   FC                            GAP          |  =     31/64    | 0.14 sec
  101   |  8     |   FC                            GAP          |  =    101/208   | 0.11 sec
  103   |  8     |   FC                            GAP          |  =     97/200   | 0.22 sec
  105   |  8     |   FC                            GAP          |  =     35/72    | 0.08 sec
  107   |  8     |   FC                            GAP          |  =    101/208   | 0.15 sec
  109   |  8     |   FC                            GAP          |  =    109/224   | 0.08 sec
  10    |  9     |       INT        EBM            GAP          |  =      1/3     | 0.01 sec
  11    |  9     |       INT  HALF  EBM  HBM  MID  GAP          |  =     13/36    | 0.02 sec
  13    |  9     |   FC             EBM            GAP          |  =      1/3     | 0.02 sec
  14    |  9     |   FC                            GAP          |  =      7/18    | 0.02 sec
  16    |  9     |   FC  INT                  MID  GAP          |  =     11/27    | 0.00 sec
  17    |  9     |   FC                            GAP          |  =     10/27    | 0.00 sec
  19    |  9     |   FC                            GAP          |  =     19/45    | 0.02 sec
